Designator,Mid X,Mid Y,Rotation,Layer
R606,160.049051,-80.525,90.0,top
R608,160.549051,-86.525,90.0,top
R610,167.949051,-76.372371,270.0,top
R611,164.299051,-85.785,0.0,top
R612,164.299051,-87.275,180.0,top
R613,171.949051,-85.372371,180.0,top
R614,171.949051,-86.872371,0.0,top
R616,172.4,-66.825,270.0,top
R701,184.799051,-61.7,0.0,top
R702,184.799051,-60.6,0.0,top
R703,181.399051,-72.4,270.0,top
R704,197.499051,-80.3,90.0,top
SW701,210.569051,-54.926,270.0,top
SW702,207.779051,-61.724,90.0,top
U201,171.686551,-101.225,270.0,top
U301,167.199051,-114.55,270.0,top
U302,180.549051,-120.55,270.0,top
U501,206.549051,-104.7,0.0,top
U502,206.549051,-96.5,0.0,top
U503,199.549051,-108.95,270.0,top
U504,193.549051,-111.45,0.0,top
U505,199.049051,-101.45,90.0,top
U506,189.414051,-103.725,0.0,top
U507,190.549051,-93.45,0.0,top
U508,191.049051,-84.2,180.0,top
U509,198.936551,-96.25,0.0,top
U601,166.414051,-71.325,90.0,top
U602,169.604051,-81.302371,180.0,top
U603,162.579051,-81.355,180.0,top
U701,202.049051,-71.45,270.0,top
U702,184.299051,-80.45,0.0,top
U703,187.799051,-62.4,90.0,top
U704,189.049051,-71.7,0.0,top
U705,197.999051,-57.8,270.0,top
